creation_time_c,expiry_date_c,bid_size_c,bid_price_c,last_price_c,ask_price_c,strike_price_c,ask_size_c,volume_c,underlying_price_c,creation_time_p,expiry_date_p,bid_size_p,bid_price_p,last_price_p,ask_price_p,strike_price_p,ask_size_p,volume_p,underlying_price_p
09-08-2019,10-25-2019,10.0,0.2425,,,8000,,0.0,10562.40307677042,09-08-2019,10-25-2019,,,,,15000,,0.0,10562.413846039277
09-08-2019,12-27-2019,45.0,0.014,0.015,0.0165,22000,7.0,5.0,10666.27,09-08-2019,09-27-2019,,,1.6,,24000,,0.0,10516.22
09-08-2019,12-27-2019,12.0,0.5255,0.5485,0.5475,5000,12.0,0.5,10666.27,09-08-2019,12-27-2019,17.0,0.038,0.039,0.0405,7500,8.4,0.0,10666.27
09-08-2019,12-27-2019,11.0,0.446,0.469,0.466,6000,11.0,0.0,10666.27,09-08-2019,12-27-2019,53.0,0.0045,0.005,0.007,5000,59.3,3.5,10666.27
09-08-2019,09-27-2019,10.1,0.329,0.3375,0.3425,7000,9.0,0.0,10516.22,09-08-2019,09-27-2019,32.0,0.001,0.0015,0.0015,7000,8.0,19.0,10516.22
09-08-2019,09-27-2019,0.2,0.029,0.031,0.0325,11500,51.5,17.6,10516.22,09-08-2019,09-27-2019,,,,,28000,,0.0,10516.22
09-08-2019,12-27-2019,19.0,0.0315,0.0345,0.034,18000,7.0,3.0,10666.27,09-08-2019,09-20-2019,,,,,13000,,0.0,10475.047482837777
09-08-2019,09-20-2019,20.0,0.0015,0.0065,0.0025,13500,5.5,0.0,10475.022802729782,09-08-2019,09-27-2019,,,0.0005,0.0005,5000,64.1,0.0,10516.22
09-08-2019,03-27-2020,10.0,0.0805,0.0905,0.086,18000,4.9,0.0,10783.439792706144,09-08-2019,10-25-2019,74.2,0.001,0.0015,0.003,6000,24.0,0.0,10562.413846039277
09-08-2019,09-27-2019,10.0,0.0045,0.694,0.76,3250,5.0,0.0,10516.22,09-08-2019,12-27-2019,,,0.0005,0.001,2500,8.0,0.0,10666.27
09-08-2019,09-27-2019,15.9,0.087,0.0875,0.0915,10000,5.5,2.6,10516.22,09-08-2019,12-27-2019,74.0,0.001,0.0015,0.003,4000,4.2,0.0,10666.27
09-08-2019,09-27-2019,14.0,0.151,0.165,0.161,9000,6.0,0.0,10516.22,09-08-2019,09-20-2019,,,,,13500,,0.0,10475.022802729782
09-08-2019,03-27-2020,26.0,0.0125,0.0175,0.0165,36000,25.0,0.0,10783.439792706144,09-08-2019,12-27-2019,1.0,0.01,0.661,1.466,20000,1.0,0.0,10666.27
09-08-2019,09-27-2019,11.0,0.0615,0.06,0.066,10500,5.9,1.6,10516.2,09-08-2019,09-13-2019,0.2,0.0005,0.0005,0.001,8500,39.6,0.6,10433.850286122024
09-08-2019,03-27-2020,15.0,0.135,0.152,0.144,14000,3.6,0.0,10783.358907721831,09-08-2019,09-27-2019,4.0,0.3125,0.466,0.362,14000,4.0,0.0,10516.22
09-08-2019,12-27-2019,12.2,0.2945,0.316,0.312,8000,10.0,0.0,10666.27,09-08-2019,12-27-2019,45.1,0.0005,0.001,0.002,3500,7.5,0.0,10666.27
09-08-2019,12-27-2019,11.0,0.2395,0.257,0.2455,9000,11.0,0.0,10666.27,09-08-2019,12-27-2019,5.0,0.3515,0.375,0.428,14000,8.2,0.0,10666.27
09-08-2019,12-27-2019,4.0,0.002,0.004,0.0035,36000,51.3,0.0,10666.27,09-08-2019,10-25-2019,6.4,0.0755,0.0795,0.0795,10000,8.0,0.1,10562.43076907789
09-08-2019,09-27-2019,55.0,0.0005,0.0015,0.0015,16000,7.8,2.2,10516.22,09-08-2019,12-27-2019,21.5,0.013,0.0145,0.015,6000,36.7,0.9,10666.27
09-08-2019,09-27-2019,,,0.0005,0.0005,20000,0.5,0.0,10516.22,09-08-2019,03-27-2020,10.0,0.0005,,,36000,,0.0,10783.358907721831
09-08-2019,03-27-2020,0.1,0.63,,,4000,,0.0,10783.358907721831,09-08-2019,12-27-2019,1.0,0.001,1.49,,28000,,0.0,10666.27
09-08-2019,09-27-2019,,,0.815,,1500,,0.0,10516.22,09-08-2019,09-27-2019,10.0,0.0045,0.396,,16000,,0.0,10516.22
09-08-2019,09-20-2019,35.0,0.0275,0.0285,0.029,11000,0.9,6.2,10475.03514289077,09-08-2019,09-27-2019,,,0.0005,0.0005,6000,28.0,0.0,10516.22
09-08-2019,09-13-2019,,,0.001,0.001,13500,38.3,0.0,10433.850286122024,09-08-2019,09-20-2019,30.0,0.0005,,0.001,7500,8.0,0.0,10475.03514289077
09-08-2019,09-13-2019,35.2,0.0035,0.004,0.0045,11500,0.1,6.0,10433.854966084213,09-08-2019,12-27-2019,5.0,0.4525,0.42,0.478,15000,5.0,0.0,10666.27
09-08-2019,09-20-2019,,,,,7500,,0.0,10475.022802729782,09-08-2019,03-27-2020,10.6,0.2995,0.3175,0.3125,12000,12.0,0.2,10783.439792706144
09-08-2019,09-20-2019,39.0,0.0005,0.001,0.001,14500,0.9,0.4,10475.03514289077,09-08-2019,09-20-2019,30.0,0.001,0.002,0.002,8000,10.7,25.2,10475.047482837777
09-08-2019,12-27-2019,20.0,0.021,0.021,0.023,20000,7.6,17.2,10666.27,09-08-2019,09-20-2019,,,,,14500,,0.0,10475.03514289077
09-08-2019,09-20-2019,47.1,0.0025,0.003,0.0035,13000,3.0,1.2,10475.047482837777,09-08-2019,09-13-2019,,,,,12500,,0.0,10433.850286122024
09-08-2019,09-27-2019,10.0,0.4205,0.454,0.4375,6000,10.0,0.0,10516.22,09-08-2019,09-20-2019,5.6,0.027,0.029,0.0295,10000,1.0,10.7,10475.022802729782
09-08-2019,12-27-2019,12.0,0.572,0.584,0.5895,4500,12.0,0.0,10666.27,09-08-2019,12-27-2019,5.0,0.0045,0.559,1.4675,18000,0.2,0.0,10666.27
09-08-2019,12-27-2019,1.0,0.45,0.626,0.652,4000,0.2,0.0,10666.27,09-08-2019,09-27-2019,4.0,0.4055,0.42,0.453,15000,4.0,1.0,10516.22
09-08-2019,03-27-2020,2.0,0.022,0.023,0.026,30000,24.0,0.0,10783.439792706144,09-08-2019,09-27-2019,10.0,0.0045,1.391,,22000,,0.0,10516.22
09-08-2019,12-27-2019,11.0,0.4795,0.4875,0.506,5500,11.0,0.0,10666.27,09-08-2019,03-27-2020,10.0,0.0005,,,24000,,0.0,10783.439792706144
09-08-2019,12-27-2019,57.5,0.001,0.003,0.0025,40000,24.0,0.0,10666.27,09-08-2019,12-27-2019,29.5,0.0025,0.003,0.0045,4500,31.0,0.0,10666.27
09-08-2019,12-27-2019,0.1,0.0065,,0.95,3000,0.5,0.0,10666.27,09-08-2019,10-25-2019,,,,,16000,,0.0,10562.43076907789
09-08-2019,03-27-2020,15.0,0.0175,0.018,0.022,32000,25.0,0.0,10783.54089720663,09-08-2019,12-27-2019,10.0,0.0005,1.875,,32000,,0.0,10666.27
09-08-2019,09-13-2019,15.0,0.137,0.1645,0.1525,9000,5.0,0.0,10433.850286122024,09-08-2019,09-27-2019,18.0,0.088,0.09,0.091,11000,0.2,4.0,10516.22
09-08-2019,03-27-2020,21.1,0.01,0.01,0.012,40000,14.0,0.0,10783.358907721831,09-08-2019,12-27-2019,,,0.0005,0.001,1500,9.9,0.0,10666.27
09-08-2019,09-27-2019,2.7,0.0085,0.0085,0.0105,13000,62.4,0.5,10516.22,09-08-2019,10-25-2019,6.2,0.127,0.1195,0.1305,11000,1.5,0.0,10562.413846039277
09-08-2019,12-27-2019,30.0,0.001,0.0015,0.0015,48000,1.0,0.0,10666.27,09-08-2019,09-27-2019,,,0.0005,0.0005,4750,34.9,0.0,10516.22
09-08-2019,09-27-2019,9.0,0.118,0.121,0.1235,9500,6.0,0.2,10516.24,09-08-2019,09-20-2019,,,,,12500,,0.0,10475.03514289077
09-08-2019,09-27-2019,138.6,0.0005,0.001,0.001,18000,41.0,12.0,10516.22,09-08-2019,03-27-2020,1.0,0.0015,,,20000,,0.0,10783.358907721831
09-08-2019,10-25-2019,7.0,0.163,,0.2115,9000,7.0,0.0,10562.447692135565,09-08-2019,03-27-2020,10.0,0.0005,,,34000,,0.0,10783.358907721831
09-08-2019,09-13-2019,2.9,0.0005,0.0005,0.001,13000,8.4,6.6,10433.850286122024,09-08-2019,09-20-2019,18.8,0.007,0.007,0.008,9000,16.0,2.3,10475.03514289077
09-08-2019,09-27-2019,20.0,0.0045,0.693,0.774,3000,5.0,0.0,10516.22,09-08-2019,09-13-2019,,,0.0005,0.0005,8000,33.8,9.6,10433.845605799985
09-08-2019,12-27-2019,15.0,0.006,0.008,0.0075,28000,34.1,0.0,10666.27,09-08-2019,09-13-2019,4.5,0.012,0.0135,0.014,10000,10.0,15.3,10433.845605799985
09-08-2019,12-27-2019,14.0,0.0935,0.0965,0.098,13000,4.5,0.0,10666.27,09-08-2019,03-27-2020,9.0,0.0875,0.084,0.095,8000,11.9,5.0,10783.358907721831
09-08-2019,09-27-2019,,,0.0005,0.0005,30000,8.0,0.0,10516.22,09-08-2019,09-27-2019,,,0.0005,0.0005,4500,39.1,0.0,10516.22
09-08-2019,12-27-2019,26.4,0.1485,0.155,0.1545,11000,8.0,0.0,10666.27,09-08-2019,12-27-2019,10.0,0.0005,2.58,,40000,,0.0,10666.27
09-08-2019,09-13-2019,55.9,0.0005,0.001,0.001,12500,0.1,7.7,10433.850286122024,09-08-2019,09-27-2019,,,0.0005,0.0005,5500,28.0,0.0,10516.22
09-08-2019,09-20-2019,46.0,0.005,0.005,0.0065,12500,5.8,19.1,10475.03514289077,09-08-2019,09-27-2019,,,0.0005,0.0005,2500,38.0,0.0,10516.22
09-08-2019,09-20-2019,,,,,8000,,0.0,10475.03514289077,09-08-2019,12-27-2019,,,0.0005,0.001,2000,8.0,0.0,10666.27
09-08-2019,12-27-2019,34.3,0.074,0.077,0.0795,14000,19.9,0.0,10666.27,09-08-2019,10-25-2019,0.1,0.018,0.018,0.0195,8000,24.0,1.0,10562.40307677042
09-08-2019,10-25-2019,0.1,0.025,0.023,0.0265,14000,7.1,0.7,10562.43076907789,09-08-2019,10-25-2019,,,,,14000,,0.0,10562.43076907789
